provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region,phone_no,address
P00011,Jill Santiago,City_11,MI,44.3148,-85.6024,ENT,Orthopedics,Specialty Care,36,352.61,11,1.77,0.78,TRUE,FALSE,In-network,385,TRUE,Santana LLC Hospital,3.59,South,+1-522-940-1717x5598,"9942 Jonathan Ferry, City_11, MI 64333"
P00012,Vincent Huynh,City_12,PA,41.2533,-77.1445,Dermatology,Ophthalmology,Specialty Care,39,376.36,15,1.05,0.28,FALSE,FALSE,In-network,117,FALSE,Grant-Alvarez Hospital,2.25,East,+1-514-509-9055x504,"467 Cory Lake Apt. 004, City_12, PA 55786"
P00013,Robert Harding,City_13,TX,32.0686,-99.8018,Orthopedics,Neurology,Surgical,28,930.78,22,4.04,0.37,TRUE,TRUE,In-network,500,FALSE,Price-Camacho Hospital,3.26,South,8852626609,"43751 Lisa Mountain, City_13, TX 78826"
P00014,Brittany White,City_14,NC,35.9096,-78.8693,General Practice,Endocrinology,Primary Care,19,139.44,54,2.21,0.61,TRUE,TRUE,In-network,67,TRUE,Hensley LLC Hospital,2.96,East,001-692-607-2261x2238,"802 Marissa Corner Apt. 128, City_14, NC 05185"
P00015,John Watson,City_15,NC,35.9596,-78.8193,Orthopedics,Psychiatry,Surgical,3,859.91,31,3.32,0.87,FALSE,TRUE,Out-of-network,394,TRUE,Moss-Williams Hospital,3.3,West,-4001,"5310 Phillips Glens, City_15, NC 44967"
P00016,David Nicholson,City_16,FL,28.2444,-81.5103,Neurology,General Practice,Specialty Care,27,703.37,8,1.51,0.34,FALSE,FALSE,In-network,433,TRUE,"Frank, Morris and Clements Hospital",2.64,North,869-923-4814,"2400 John Islands Suite 649, City_16, FL 47725"
P00017,Bradley Silva,City_17,CA,37.0783,-119.1179,Pediatrics,Neurology,Primary Care,34,214.57,39,4.63,0.66,TRUE,FALSE,Out-of-network,61,TRUE,"Miller, Hoffman and Rodriguez Hospital",2.93,South,001-367-689-9227x5576,"83176 Foster Curve Suite 572, City_17, CA 74873"
P00018,Kevin Vargas,City_18,GA,32.5156,-82.5501,Cardiology,Neurology,Specialty Care,8,739.31,20,1.9,0.73,FALSE,TRUE,Out-of-network,157,TRUE,"Smith, Madden and Johnson Hospital",3.11,East,636.249.4858,"1770 Reed Ports, City_18, GA 10992"
P00019,Nicholas Wolfe,City_19,WA,48.1511,-120.3401,General Practice,Neurology,Primary Care,37,134.88,19,4.01,0.39,FALSE,FALSE,In-network,418,FALSE,"Williams, Hall and Boone Hospital",2.11,South,8195719697,"6635 John Ports, City_19, WA 20615"
P00020,Ryan Mendoza,City_20,TX,32.4186,-99.4518,Endocrinology,General Practice,Specialty Care,18,703.57,25,1.14,0.34,TRUE,TRUE,Out-of-network,132,FALSE,Dunlap-Jones Hospital,2.04,South,976-573-5154x584,"71848 Brenda Plains, City_20, TX 65000"
P00021,Steven Alvarado,City_21,MA,42.4072,-71.3824,Pediatrics,Dermatology,Primary Care,1,186.65,27,1.77,0.36,FALSE,TRUE,In-network,371,FALSE,Robinson and Sons Hospital,3.46,North,(390)292-7264x070,"021 Greer Tunnel, City_21, MA 92468"
P00022,Autumn Murphy,City_22,NY,43.3494,-74.1679,ENT,General Practice,Specialty Care,35,374.31,27,2.29,0.31,FALSE,TRUE,In-network,220,TRUE,"Dunn, Gonzalez and Williams Hospital",2.37,East,230-670-2574,"6359 Amanda Roads, City_22, NY 10668"
P00023,Stacy Ross,City_23,AZ,34.1489,-110.9937,Neurology,Psychiatry,Specialty Care,19,806.29,59,4.88,0.4,TRUE,FALSE,Out-of-network,277,FALSE,"Miller, Sharp and Rodriguez Hospital",4.71,East,(402)736-4604x86325,"94785 Palmer Landing, City_23, AZ 98057"
P00024,Kevin Lopez,City_24,IL,40.7831,-89.2485,Dermatology,Urology,Specialty Care,27,343.89,46,4.47,0.38,FALSE,FALSE,Out-of-network,484,TRUE,Morales-Cuevas Hospital,1.14,West,877-214-9174,"85916 Timothy Camp, City_24, IL 90085"
P00025,Sean Sanchez,City_25,IL,40.8331,-89.1985,Dermatology,General Practice,Specialty Care,4,276.8,46,3.11,0.86,TRUE,FALSE,In-network,136,FALSE,Whitney Ltd Hospital,3.1,South,478.769.1141x7456,"305 Holmes Motorway Suite 113, City_25, IL 87751"
P00026,Jerry Green,City_26,NV,39.0526,-116.1694,Cardiology,Orthopedics,Specialty Care,36,892.39,26,1.16,0.67,TRUE,FALSE,Out-of-network,299,TRUE,Sanchez PLC Hospital,4,South,3836728352,"062 Kimberly Isle, City_26, NV 00572"
P00027,Loretta Mitchell MD,City_27,NV,39.1026,-116.1194,Neurology,Orthopedics,Specialty Care,20,684.81,59,4.03,0.01,TRUE,TRUE,In-network,383,TRUE,Henderson-Scott Hospital,4.26,West,+1-273-928-4316x4752,"76604 Walters Meadows Apt. 832, City_27, NV 69668"
P00028,Chelsea Butler,City_28,NC,36.1096,-78.6693,Dermatology,Urology,Specialty Care,14,314.63,44,3.67,0.27,TRUE,FALSE,In-network,319,FALSE,Moore and Sons Hospital,4.78,South,811-690-0982x77549,"822 Randall Inlet Suite 590, City_28, NC 22875"
P00029,Brian Thomas,City_29,GA,32.5656,-82.5001,Dermatology,Orthopedics,Specialty Care,38,331.31,16,1,0.08,FALSE,TRUE,In-network,131,FALSE,"Bowen, Hanson and Bartlett Hospital",2.36,West,772-479-6641x3452,"153 Jenkins Trace, City_29, GA 41469"
P00030,Gary Schultz,City_30,AZ,34.4989,-110.6437,General Practice,Dermatology,Primary Care,7,119.88,60,4.71,0.66,TRUE,FALSE,In-network,156,TRUE,Hicks-Price Hospital,4.82,South,961.472.0931x53920,"89173 Paul Knolls, City_30, AZ 20038"
P00031,Jason Williamson,City_31,PA,41.2033,-77.1945,Dermatology,Dermatology,Specialty Care,30,376.73,14,4.92,0.35,TRUE,FALSE,In-network,396,TRUE,"Wilkins, Lloyd and Berry Hospital",1.2,South,554.649.6839x40934,"865 Carr Plaza, City_31, PA 92763"
P00032,Joshua Stafford,City_32,MA,42.4572,-71.3324,Gastroenterology,Urology,Specialty Care,10,620.9,8,4.54,0.97,FALSE,FALSE,Out-of-network,208,TRUE,Tran LLC Hospital,1.01,East,+1-690-332-2359x59332,"1317 Molly Falls Suite 484, City_32, MA 08855"
P00033,Melanie Baker,City_33,NV,38.9026,-116.3194,Urology,Neurology,Specialty Care,21,611.29,54,3.85,0.39,FALSE,TRUE,In-network,384,FALSE,Myers and Sons Hospital,3.45,West,708-501-6132x9955,"2201 Natalie Walk Suite 155, City_33, NV 06861"
P00034,Eric Collins,City_34,MI,44.4648,-85.4524,Pediatrics,ENT,Primary Care,6,197.9,15,4.13,0.76,TRUE,FALSE,Out-of-network,313,TRUE,Wolfe-Bowen Hospital,3.72,West,885-356-8701x3755,"9714 Jose Landing, City_34, MI 96580"
P00035,Shawn Schultz,City_35,NC,35.9596,-78.8193,Urology,Gastroenterology,Specialty Care,5,593.25,53,3.74,0.32,TRUE,FALSE,In-network,73,FALSE,Stafford and Sons Hospital,2.71,North,511-652-5806x6709,"60845 Cunningham Locks Apt. 280, City_35, NC 22419"
P00036,Andrew Spencer,City_36,OH,40.6673,-82.6571,Neurology,Neurology,Specialty Care,30,752.88,28,2.93,0,TRUE,FALSE,In-network,238,FALSE,Burch-Robinson Hospital,3.99,West,+1-396-211-3288x919,"4850 Morgan Points, City_36, OH 82643"
P00037,Nicole Martin,City_37,CA,37.0783,-119.1179,Urology,Neurology,Specialty Care,6,531.55,9,2.67,0.52,TRUE,TRUE,In-network,436,TRUE,Neal-Johnson Hospital,4.26,North,(534)725-2471x9918,"814 Patel Spurs, City_37, CA 01134"
P00038,Gina Page,City_38,PA,41.5533,-76.8445,Psychiatry,ENT,Specialty Care,27,458.91,20,3.93,0.45,FALSE,TRUE,In-network,102,TRUE,Logan PLC Hospital,4.79,West,672-989-8829x45082,"23010 Shelia Prairie Apt. 680, City_38, PA 66767"
P00039,Terri Farley,City_39,MI,44.7148,-85.2024,Cardiology,Pediatrics,Specialty Care,6,792.16,39,3.1,0.97,TRUE,FALSE,Out-of-network,112,TRUE,Villegas-Stanley Hospital,3.44,East,307.625.2086x56285,"9954 Payne Stream, City_39, MI 49753"
P00040,Brian Simon,City_40,OH,40.8673,-82.4571,Urology,Orthopedics,Specialty Care,21,664.92,5,3.79,0.65,TRUE,FALSE,Out-of-network,499,TRUE,Fuller LLC Hospital,3.28,East,455-604-0123,"954 Eric Spring, City_40, OH 18344"
P00041,Kenneth Wu,City_41,NY,43.2994,-74.2179,Dermatology,General Practice,Specialty Care,22,306.46,30,4.94,0.09,TRUE,FALSE,Out-of-network,457,TRUE,Bryant and Sons Hospital,2.62,East,(983)776-3026x059,"8514 Huff Flats Suite 939, City_41, NY 41799"
P00042,Curtis Roberts,City_42,OH,40.4673,-82.8571,Cardiology,Psychiatry,Specialty Care,32,829.26,57,5,0.24,TRUE,TRUE,Out-of-network,343,TRUE,Liu and Sons Hospital,2.22,South,(646)253-9380,"310 Lori Pines, City_42, OH 50876"
P00043,Jeremy Frederick,City_43,IL,40.7331,-89.2985,Orthopedics,Orthopedics,Surgical,24,856.19,21,4.24,0.24,FALSE,FALSE,In-network,313,TRUE,"Paul, Griffin and Morse Hospital",4.2,North,001-205-396-8945x47805,"932 Kevin Gardens Suite 062, City_43, IL 72314"
P00044,Daniel Hughes,City_44,WA,47.9011,-120.5901,Orthopedics,ENT,Surgical,10,855.32,32,1.36,0.43,TRUE,FALSE,Out-of-network,397,FALSE,Collins LLC Hospital,4.95,West,799-495-5812,"94425 Martin Trace Apt. 401, City_44, WA 68643"
P00045,Lance Jones,City_45,TX,32.1686,-99.7018,Gastroenterology,Endocrinology,Specialty Care,22,709.54,45,3.47,0.78,TRUE,FALSE,Out-of-network,489,FALSE,Brown-Mcdonald Hospital,1.57,West,001-624-890-3442x444,"79418 Sue Inlet Suite 304, City_45, TX 35157"
P00046,James Baker,City_46,CA,37.0283,-119.1679,Cardiology,ENT,Specialty Care,3,709.29,38,1.16,0.53,FALSE,FALSE,In-network,491,TRUE,Bridges-Schneider Hospital,3.94,West,542.976.1018x987,"52133 Rodney Lock Apt. 192, City_46, CA 50129"
P00047,Kristen Cunningham,City_47,MI,44.6148,-85.3024,Endocrinology,Dermatology,Specialty Care,36,695.63,18,2.9,0.03,TRUE,TRUE,Out-of-network,307,FALSE,"Miller, Hobbs and Blair Hospital",1.3,South,001-428-912-2335x7176,"4144 Taylor Fall Suite 997, City_47, MI 68519"
P00048,Matthew Doyle,City_48,OH,40.7673,-82.5571,Pediatrics,Gastroenterology,Primary Care,20,195.56,34,3.61,0.01,TRUE,TRUE,Out-of-network,351,TRUE,Wilson and Sons Hospital,4.39,East,+1-758-683-2139x8281,"503 Davenport Greens Apt. 188, City_48, OH 11037"
P00049,April Ruiz,City_49,GA,32.5656,-82.5001,Dermatology,Dermatology,Specialty Care,32,372.92,44,3.13,0.8,TRUE,TRUE,Out-of-network,391,TRUE,"Crosby, Choi and Miles Hospital",2.68,South,(915)431-5434x22483,"210 Davis Crossing, City_49, GA 35098"
P00050,Jessica Erickson,City_50,GA,32.6156,-82.4501,Ophthalmology,Ophthalmology,Specialty Care,23,276.66,51,1.43,0.86,TRUE,FALSE,In-network,92,FALSE,Elliott Group Hospital,3.96,South,(725)290-8827x17410,"4022 Katie Lakes, City_50, GA 20737"
P00051,Kevin Ballard,City_51,NV,38.8026,-116.4194,ENT,Ophthalmology,Specialty Care,19,328.41,51,3.35,0.54,TRUE,FALSE,Out-of-network,335,TRUE,"Patrick, Moore and Nguyen Hospital",2.7,North,863-436-8299x50289,"428 Nicole Parks, City_51, NV 14671"
P00052,Brad Johnson,City_52,NY,43.3494,-74.1679,Ophthalmology,Gastroenterology,Specialty Care,13,262.77,28,2.9,0.61,FALSE,FALSE,Out-of-network,290,TRUE,Smith and Sons Hospital,2.23,South,001-980-325-1130,"72047 Marc Avenue Apt. 176, City_52, NY 20460"
P00053,James Murphy,City_53,PA,41.3033,-77.0945,Endocrinology,General Practice,Specialty Care,21,718.07,27,4.32,0.78,TRUE,FALSE,Out-of-network,395,TRUE,Mcgee-Ramirez Hospital,1.92,West,001-494-679-6750x506,"79252 Robinson Stravenue, City_53, PA 82878"
P00054,Linda Mitchell,City_54,NV,38.9526,-116.2694,ENT,Orthopedics,Specialty Care,27,366.54,5,3.02,0.53,TRUE,FALSE,In-network,53,FALSE,Gonzalez Group Hospital,4.04,West,001-545-648-0589x623,"2354 Cory Forges, City_54, NV 63629"
P00055,Frank Smith,City_55,NV,39.0026,-116.2194,Pediatrics,Ophthalmology,Primary Care,6,179.61,57,1.47,0.72,FALSE,FALSE,Out-of-network,433,FALSE,Lucas-Hughes Hospital,4.9,North,6658168114,"62540 Christopher Green Suite 482, City_55, NV 03202"
P00056,Stephanie Weeks,City_56,NC,36.0096,-78.7693,Neurology,Gastroenterology,Specialty Care,17,676.66,23,3.77,0.31,FALSE,TRUE,Out-of-network,414,TRUE,Owens Inc Hospital,3.99,East,-2013,"1272 Johnson Drives Suite 319, City_56, NC 36907"
P00057,Rebekah Oconnell,City_57,PA,41.5033,-76.8945,General Practice,Pediatrics,Primary Care,3,122.19,28,2.72,0.72,FALSE,TRUE,Out-of-network,433,TRUE,"Dunn, Bennett and Caldwell Hospital",3.26,East,625.997.7568x8824,"1307 Phillip Drive, City_57, PA 33938"
P00058,Michelle Navarro,City_58,NC,36.1096,-78.6693,Dermatology,Endocrinology,Specialty Care,13,291.45,32,1.39,0.48,FALSE,TRUE,In-network,76,FALSE,Rogers-Harris Hospital,2.62,East,3979874390,"86134 Denise Orchard, City_58, NC 56542"
P00059,Margaret West,City_59,IL,41.0331,-88.9985,Dermatology,Cardiology,Specialty Care,35,322.08,52,4.79,0.12,TRUE,FALSE,In-network,93,FALSE,Taylor-Smith Hospital,1.74,North,001-492-532-9654x1671,"13795 Robinson Fort, City_59, IL 99497"
P00060,Michele Taylor,City_60,MI,44.7648,-85.1524,Neurology,Pediatrics,Specialty Care,25,727.41,29,1.19,0.63,TRUE,FALSE,Out-of-network,476,TRUE,Carr Group Hospital,1.28,West,866.570.2261x183,"1801 Harrison Glen Apt. 863, City_60, MI 22753"
P00061,Joseph Vargas,City_61,WA,47.7511,-120.7401,Gastroenterology,ENT,Specialty Care,27,681.08,52,1.15,0.38,FALSE,FALSE,Out-of-network,134,FALSE,Higgins-Martin Hospital,3.14,East,909.545.7486,"86477 Daniel Light Suite 163, City_61, WA 78443"
P00062,Brandon Richardson,City_62,TX,32.0186,-99.8518,Urology,General Practice,Specialty Care,1,558.32,13,1.33,0.59,FALSE,TRUE,Out-of-network,469,FALSE,Kemp and Sons Hospital,2.1,South,-3261,"753 Alexis Mills, City_62, TX 34587"
P00063,Mallory Taylor,City_63,NY,43.3994,-74.1179,Neurology,Psychiatry,Specialty Care,31,732.77,32,2.12,0.12,TRUE,FALSE,Out-of-network,311,TRUE,"Crosby, Salazar and Wolf Hospital",4.85,East,(972)582-6959x39968,"31292 Peck Drive, City_63, NY 60242"
P00064,Ryan Smith,City_64,OH,40.5673,-82.7571,Psychiatry,Dermatology,Specialty Care,28,414.02,38,2.29,0.5,TRUE,FALSE,In-network,238,TRUE,Soto Group Hospital,4.31,North,+1-362-263-7350x5328,"1696 Donna Knolls, City_64, OH 34303"
P00065,Charles Bean,City_65,NV,39.0026,-116.2194,Orthopedics,Cardiology,Surgical,6,756.08,44,4.49,0.75,FALSE,FALSE,Out-of-network,412,TRUE,Mccoy-Woodward Hospital,1.53,West,2344024161,"414 Davis Forks, City_65, NV 40365"
P00066,Jonathan Nelson,City_66,AZ,34.2989,-110.8437,Gastroenterology,Pediatrics,Specialty Care,31,744.58,29,4.87,0.5,FALSE,FALSE,Out-of-network,441,TRUE,Curtis-Hunter Hospital,3.32,East,402.352.2536,"5757 Hailey Track Apt. 087, City_66, AZ 52012"
P00067,Mikayla Armstrong,City_67,NC,36.0596,-78.7193,Gastroenterology,General Practice,Specialty Care,25,694.38,19,4.87,0.83,TRUE,TRUE,In-network,358,TRUE,"Mckay, Schultz and Walters Hospital",2.33,North,419-799-5908,"1087 King Mountain Suite 090, City_67, NC 00843"
P00068,David Christian,City_68,CO,39.9001,-105.4321,Orthopedics,Psychiatry,Surgical,1,745.89,14,3.69,0.57,FALSE,FALSE,Out-of-network,226,FALSE,"Howell, Jones and Wood Hospital",4.3,West,(342)838-1196x74094,"15301 Richard Dale, City_68, CO 43257"
P00069,Robert Davis,City_69,NC,36.1596,-78.6193,ENT,Urology,Specialty Care,16,364.19,49,4.52,0.97,FALSE,TRUE,In-network,52,FALSE,Mckay-Parker Hospital,1.29,South,(347)817-0512x3485,"447 Angela Canyon, City_69, NC 35414"
P00070,Edward Richard,City_70,WA,48.2011,-120.2901,Dermatology,General Practice,Specialty Care,34,372.63,23,1.83,0.83,FALSE,TRUE,In-network,130,FALSE,"Hutchinson, Avery and Rowe Hospital",2.93,North,756-802-4093x79527,"2275 Anderson Crossroad, City_70, WA 99338"
P00071,Jennifer Smith,City_71,NV,38.8026,-116.4194,ENT,General Practice,Specialty Care,10,362.83,17,3.17,0.98,FALSE,TRUE,Out-of-network,306,FALSE,Gonzales Group Hospital,4.73,East,387-571-4348x88201,"51127 Jamie Squares Suite 626, City_71, NV 39950"
P00072,Ryan White,City_72,FL,28.0444,-81.7103,Psychiatry,Dermatology,Specialty Care,4,353.69,22,1.22,0.6,FALSE,FALSE,In-network,248,TRUE,"Schultz, Larson and Thompson Hospital",2.17,West,583.733.2300x990,"609 Fuentes Falls, City_72, FL 34655"
P00073,Sonia Bailey,City_73,MI,44.4148,-85.5024,Cardiology,General Practice,Specialty Care,10,715.81,13,2.7,0.24,TRUE,FALSE,In-network,368,TRUE,Hansen-Bishop Hospital,1.2,North,+1-560-841-8906x24119,"2635 Thomas Shoals Suite 119, City_73, MI 13347"
P00074,David Solis,City_74,CA,36.9283,-119.2679,Dermatology,Pediatrics,Specialty Care,15,323.69,35,1.11,0.29,TRUE,TRUE,Out-of-network,418,FALSE,Zimmerman-Dawson Hospital,3.19,East,975.543.6424x7033,"9739 David Ville Suite 834, City_74, CA 00812"
P00075,Ryan Khan,City_75,AZ,34.2489,-110.8937,Ophthalmology,Neurology,Specialty Care,5,264.99,20,1.54,0.11,TRUE,TRUE,Out-of-network,472,TRUE,"Garcia, Wright and Chandler Hospital",1.04,South,(412)657-5040x647,"20279 Harold Drive Apt. 067, City_75, AZ 69242"
P00076,Brian Wilson,City_76,NY,43.5494,-73.9679,Psychiatry,Orthopedics,Specialty Care,40,425.18,54,1.85,0.27,TRUE,TRUE,In-network,106,TRUE,Hayes Inc Hospital,1.64,South,001-325-807-6272x31553,"60793 Perez Motorway, City_76, NY 67816"
P00077,Richard Turner,City_77,GA,32.4656,-82.6001,Pediatrics,Gastroenterology,Primary Care,23,199.98,8,4.43,0.07,TRUE,FALSE,In-network,152,TRUE,Webb PLC Hospital,2.78,West,(660)653-3717x5726,"64862 Anderson Well, City_77, GA 50994"
P00078,Heidi Flynn,City_78,AZ,34.3989,-110.7437,Endocrinology,Pediatrics,Specialty Care,29,641.88,17,4.56,0.05,FALSE,FALSE,Out-of-network,418,TRUE,Sloan Group Hospital,2.79,South,(784)229-8558,"6589 Dylan Plains, City_78, AZ 79644"
P00079,Robert Lowe,City_79,NV,39.2026,-116.0194,Pediatrics,Ophthalmology,Primary Care,24,203.97,24,4.97,0.13,FALSE,TRUE,Out-of-network,185,TRUE,"Fletcher, Powell and Sellers Hospital",1.14,North,407.721.0400,"736 Stewart Crest Suite 421, City_79, NV 85544"
P00080,Barbara Sanders,City_80,WA,48.2011,-120.2901,Pediatrics,Neurology,Primary Care,5,180.68,47,1.58,0.39,FALSE,TRUE,In-network,320,FALSE,"Calhoun, Klein and Schneider Hospital",2.49,North,281-959-5829,"140 Brett Estates, City_80, WA 27773"
P00081,Autumn Hamilton,City_81,CA,36.7783,-119.4179,Cardiology,Endocrinology,Specialty Care,19,772.01,52,1.03,0.91,FALSE,FALSE,Out-of-network,139,TRUE,"Roberts, Campbell and Harris Hospital",1.14,South,8187708418,"266 Roberson Rapid Apt. 714, City_81, CA 81240"
P00082,Sarah Crane,City_82,CA,36.8283,-119.3679,Ophthalmology,Neurology,Specialty Care,40,321.75,15,2.5,0.09,FALSE,FALSE,Out-of-network,481,FALSE,Dickson and Sons Hospital,4.48,West,2878717568,"8044 Copeland Parkway Apt. 369, City_82, CA 62403"
P00083,Anita Parker,City_83,CO,39.6501,-105.6821,Dermatology,General Practice,Specialty Care,3,291.97,60,4.75,0.4,TRUE,TRUE,Out-of-network,463,TRUE,Rodriguez Group Hospital,2.73,East,886.710.4579x41450,"1389 Matthew Fords Suite 490, City_83, CO 89124"
P00084,Frank Landry,City_84,CO,39.7001,-105.6321,Psychiatry,Urology,Specialty Care,2,403.25,53,2.14,0.73,TRUE,FALSE,In-network,231,FALSE,Mason PLC Hospital,2.95,West,(677)800-3763,"7474 Watson Passage, City_84, CO 30357"
P00085,Molly Stanley,City_85,CO,39.7501,-105.5821,Neurology,ENT,Specialty Care,19,771.87,55,3.46,0.2,FALSE,FALSE,In-network,69,FALSE,"Larson, Owen and Taylor Hospital",2.96,North,5167592339,"3612 Smith Parkway Suite 076, City_85, CO 42093"
P00086,Joanna Adams,City_86,OH,40.6673,-82.6571,Dermatology,Ophthalmology,Specialty Care,7,293.91,52,1.23,0.55,TRUE,FALSE,In-network,225,FALSE,Jones PLC Hospital,2.42,North,-10453,"661 Donna Courts, City_86, OH 58629"
P00087,Courtney Hall,City_87,MI,44.6148,-85.3024,Neurology,Neurology,Specialty Care,28,693.56,23,1.32,0.07,FALSE,FALSE,In-network,184,TRUE,"Hudson, Bell and Hernandez Hospital",2.21,West,249-798-1261x1943,"7378 Carr Skyway Suite 725, City_87, MI 10100"
P00088,Michelle Bernard,City_88,CA,37.1283,-119.0679,General Practice,ENT,Primary Care,29,139.65,28,1.41,0.34,FALSE,TRUE,In-network,477,TRUE,Mays PLC Hospital,1.83,South,921-833-9948x393,"7672 Richard Parks, City_88, CA 23349"
P00089,Jerry Smith,City_89,AZ,34.4489,-110.6937,Cardiology,General Practice,Specialty Care,7,804.67,44,2.26,0.57,TRUE,FALSE,Out-of-network,357,TRUE,Glover and Sons Hospital,4.56,South,+1-366-662-9614x072,"5820 Ronald Heights Apt. 625, City_89, AZ 52373"
P00090,Christopher Wood,City_90,MA,42.8572,-70.9324,Orthopedics,Neurology,Surgical,7,765.96,31,2.48,0.42,TRUE,TRUE,Out-of-network,103,FALSE,Ortiz-Burns Hospital,2.79,West,762-589-9931x087,"96322 Michael Stream, City_90, MA 84474"
P00091,Jesse Brown,City_91,MI,44.3148,-85.6024,Gastroenterology,Gastroenterology,Specialty Care,12,711.9,45,2.93,0.62,TRUE,TRUE,Out-of-network,342,FALSE,Johnson Inc Hospital,4.07,South,001-970-643-5920x18955,"2225 Barker Via Apt. 934, City_91, MI 25280"
P00092,Austin Wells,City_92,TX,32.0186,-99.8518,Urology,ENT,Specialty Care,5,641.47,28,2.37,0.12,FALSE,TRUE,Out-of-network,132,TRUE,Martinez Inc Hospital,4.94,West,+1-594-297-5983x38551,"42376 Craig Course, City_92, TX 41236"
P00093,Ronald Smith,City_93,CO,39.6501,-105.6821,Cardiology,Endocrinology,Specialty Care,27,838.75,16,3.44,0.7,FALSE,FALSE,Out-of-network,360,TRUE,"Mcconnell, Gilbert and Stevens Hospital",3.38,East,9834988940,"37018 William Crossing Apt. 593, City_93, CO 87545"
P00094,Joseph Pena,City_94,NC,35.9096,-78.8693,Dermatology,Dermatology,Specialty Care,13,321.04,26,4.38,0.38,TRUE,TRUE,Out-of-network,407,FALSE,Johns-White Hospital,1.82,East,8552887803,"117 Ariana Canyon Apt. 916, City_94, NC 99427"
P00095,Taylor Williams,City_95,AZ,34.2489,-110.8937,ENT,Orthopedics,Specialty Care,37,388.49,59,3.8,0.83,FALSE,FALSE,In-network,76,TRUE,Bass-Lucero Hospital,3.65,North,+1-670-202-1903x714,"0512 Lewis Path Suite 402, City_95, AZ 84126"
P00096,Francis Gentry,City_96,CO,39.8001,-105.5321,Neurology,Gastroenterology,Specialty Care,38,747.93,36,1.29,0.37,FALSE,TRUE,Out-of-network,378,FALSE,"Miller, James and Barker Hospital",2.54,West,(521)354-4062,"672 Ortiz Mills Suite 149, City_96, CO 71082"
